external_gene_name	GM2091_avg	GM2092_avg	GM2093_avg	GM2094_avg	GM2095_avg	GM2096_avg	GM2097_avg	GM2100_avg
Cdkn1b	1447	1233	1375	1515	1241	1420	1550	1746
Cdkn1c	200	133	73	167	118	292	149	132
Cdkn2a	1	1	1	1	1	3	1	1
Cdkn2aip	657	445	436	574	382	453	477	600
Cdkn2aipnl	1058	1032	969	1531	772	976	892	1038
Cdkn2b	12	8	14	4	18	24	11	18
Cdkn2c	66	36	49	57	42	66	73	64
Cdkn2d	1035	909	985	1424	871	982	910	1059
Cdkn3	0	4	3	0	3	3	1	2
Cdnf	43	56	52	114	31	56	26	50
Cdo1	725	552	467	765	361	451	473	505
Cdon	686	700	474	897	430	554	579	737
Cdpf1	153	160	212	233	168	204	170	187
Cdr1	1	3	0	2	0	0	2	4
Cdr1os	2933	1974	2813	2457	2939	2849	3006	3815
Cdr2	492	653	233	517	213	577	355	287
Cdr2l	1253	1039	905	1475	744	842	835	1012
Cdrt4	8	1	2	9	6	1	3	1
Cdrt4os1	0	0	0	0	0	0	0	0
Cdrt4os2	0	1	0	0	0	0	0	0
Cds1	2337	1836	2636	2419	2465	2375	2406	3375
Cds2	20893	20289	21695	24751	18820	21582	19486	24020
Cdsn	38	19	12	29	23	15	12	24
Cdt1	93	47	23	90	21	25	20	36
Cdv3	835	720	672	982	634	745	691	868
Cdv3-ps	0	1	0	2	0	0	1	1
Cdx1	0	1	0	0	2	0	0	0
Cdx2	0	0	0	0	0	0	0	0
Cdx4	0	0	0	0	0	0	0	0
Cdyl	282	291	218	312	195	216	244	254
Cdyl2	101	87	129	81	92	128	110	136
Ceacam-ps1	2	0	1	0	0	0	0	0
Ceacam1	141	144	74	239	58	86	73	73
Ceacam10	0	0	0	0	0	0	0	0
Ceacam11	0	0	0	0	0	0	0	0
Ceacam12	0	0	0	0	0	0	0	0
Ceacam13	0	0	0	0	0	0	0	0
Ceacam14	0	0	0	0	0	0	0	0
Ceacam15	0	0	1	4	0	2	0	0
Ceacam16	7	0	0	7	1	2	1	1
Ceacam18	2	1	0	0	2	0	0	1
Ceacam19	0	0	0	1	0	0	0	0
Ceacam2	25	18	8	11	3	10	4	8
Ceacam20	0	0	0	1	0	0	0	0
Ceacam3	5	1	2	2	0	2	0	1
Ceacam5	0	0	0	0	0	0	0	0
Ceacam9	0	0	0	1	0	0	0	0
Cebpa	573	507	485	852	400	439	536	461
Cebpb	447	373	390	700	248	325	385	425
Cebpd	804	669	381	830	240	347	359	387
Cebpe	2	0	1	1	1	0	2	0
Cebpg	1359	973	1139	1270	839	1168	1071	1256
Cebpz	1254	1204	1157	1552	1007	1111	1207	1391
Cebpzos	263	293	249	365	236	310	270	291
Cecr2	343	302	369	394	326	356	418	386
Cel	1	0	1	0	0	0	0	0
Cela1	58	45	38	42	29	37	23	27
Cela2a	0	0	0	0	0	0	0	0
Cela3a	0	0	0	0	0	0	0	0
Cela3b	0	0	0	0	0	0	0	0
Celf1	8563	7691	7815	9265	6833	7550	7805	9382
Celf2	16198	15483	18343	18091	15580	17890	17945	22102
Celf3	3238	3583	5323	3921	5578	5082	5213	6160
Celf4	17547	13204	17851	16649	15742	17395	14425	19629
Celf5	8142	7298	9871	8567	10035	9951	9729	11475
Celf6	519	488	753	502	717	682	613	714
Celrr	44	58	101	70	56	61	76	64
Celsr1	301	316	337	401	251	379	300	297
Celsr2	9578	9278	9860	11691	9804	10465	8692	10916
Celsr3	5635	4128	4229	4276	4840	3801	3819	4877
Cemip	1418	1069	889	1532	909	965	1094	1337
Cemip2	808	583	571	627	439	472	434	613
Cend1	6583	6299	7494	9014	6500	6821	6154	7100
Cenpa	161	92	43	144	32	50	82	72
Cenpb	6355	5686	5146	8167	4256	5445	4429	5091
Cenpc1	627	668	675	776	551	623	576	729
Cenpe	75	94	61	87	84	70	42	80
